平台,帖子ID,发布时间,负责人,项目,一级品线,二级品线,主题,形式,优质,链接,标题,缺失项
tk,7639190684766932255,2026-05-13,黄莉莎,KOL品线推广,彩胶,混合套组,做款,视频,,https://www.tiktok.com/@nailsbymairin/video/7639190684766932255,"@BeetlesGelPolish 
Code “Promairin”

Link “ https://www.amazon.com/stores/page/D6170396-E6FD-4916-A285-92BFED245E8C?channel=PRO-nailsbymairin

#beetlesgelpolish #nails #nailsbymairin #nailsinspo #nailsart ",
tk,7639190748864220447,2026-05-13,黄莉莎,KOL品线推广,彩胶,混合套组,做款,视频,,https://www.tiktok.com/@nailsbymairin/video/7639190748864220447,"@BeetlesGelPolish 

Code “ProMairin

Link “https://www.amazon.com/stores/page/D6170396-E6FD-4916-A285-92BFED245E8C?channel=PRO-nailsbymairin

#beetlesgelpolish #nails #nailsbymairin #nailsinspo #nailsart ",
tk,7639196754549738765,2026-05-13,何嘉怡,KOL品线推广,彩胶,裸透色彩胶,开箱;刷色,视频,,https://www.tiktok.com/@saraiventura.nails/video/7639196754549738765,#manicurista @BeetlesGelPolish @Beetles Nail Boutique ,
tk,7639197217684868366,2026-05-13,马明慧,KOL品线推广,功能胶,功能胶套组,做款,视频,,https://www.tiktok.com/@julie_ulie/video/7639197217684868366,Cùng mình đi làm nhe! 💅 #cuocsongmy #cometoworkwithme #nailtiktok #xuhuong #fyp ,
tk,7639197621327777038,2026-05-13,何嘉怡,KOL品线推广,彩胶,纯色,做款,视频,,https://www.tiktok.com/@nunis_nails/video/7639197621327777038,,
tk,7639197735039814942,2026-05-13,何嘉怡,KOL品线推广,彩胶,混合套组,做款;成品展示,视频,1,https://www.tiktok.com/@schantalkarin/video/7639197735039814942,Uñas con puntos | Cómo hacer unos polka dots fácil? 💞 ,
tk,7639199938034797838,2026-05-13,何嘉怡,KOL品线推广,功能胶,胶水,成品展示,视频,,https://www.tiktok.com/@nunis_nails/video/7639199938034797838,,
tk,7639228018774248718,2026-05-13,何嘉怡,KOL品线推广,彩胶,纯色,开箱;刷色,视频,,https://www.tiktok.com/@saraiventura.nails/video/7639228018774248718,Mis favoritos 🌸💕 #manicurista #nailtech ,
tk,7639229135856012574,2026-05-13,何嘉怡,KOL品线推广,彩胶,特色胶,开箱,视频,,https://www.tiktok.com/@nails_by_normaa/video/7639229135856012574,Hermosos colores😍@BeetlesGelPolish #cateye #gel #pink #nails #beetle ,
tk,7639238991451147534,2026-05-13,高咏欣,KOL品线推广,穿戴甲,UV穿戴甲,做款,视频,,https://www.tiktok.com/@soreall1994/video/7639238991451147534,"Im not one to wear nails but these are the cutestttt and so easy to apply!! Product is linked or in my showcase 🤗🤗 @BeetlesGelPolish 
-
#beetlesgelpolish #beetlespressonnails #pressonnails #frenchtipnails #beetlesnailstips 
 ",
tk,7639271583239998740,2026-05-13,何嘉怡,2026母亲节礼盒,配件,预构建甲片套组,开箱;口播,视频,1,https://www.tiktok.com/@colourwitchchloe246/video/7639271583239998740,Unboxed a package from be with me. @BeetlesGelPolish thank you so much.#beetlesgelpolish#beetlesprpackage#unboxwithme#prpackage#influncer ,
tk,7639369191010635026,2026-05-13,李伊芸,KOL品线推广,彩胶初学者套装,甲片,做款,视频,,https://www.tiktok.com/@autumnnggrwm/video/7639369191010635026,do my nails with me! #nails #gelnails #domynailswithme #xybca #viral ,
tk,7639373311473880334,2026-05-13,周紫月,KOL品线推广,配件,美甲灯,做款;创意,视频,,https://www.tiktok.com/@voloshka_purple/video/7639373311473880334,"this is how it turned out … and honestly I’m obsessed 💅✨
would you choose this set? 👀

used Beetles Pro Poetry of Garden + Flashcure lamp 💖
@BeetlesGelPolish 
#nailchallenge #nailinspo #nailart #gelnails #beetlespro ",
tk,7639375702998912287,2026-05-13,何嘉怡,KOL品线推广,彩胶,纯色,开箱,视频,,https://www.tiktok.com/@nailzbyzaida/video/7639375702998912287,"And they're full size bottles!! 🌸 you can find them on my storefront in my bio, use TPZAIDA10 for 10% off! @BeetlesGelPolish #beetlesgelpolish #beetlesnailnook #Summernail ",
tk,7639396112184380692,2026-05-13,黄莉莎,KOL品线推广,构建美甲,捏捏胶,做款,视频,,https://www.tiktok.com/@nailsbya_design/video/7639396112184380692,"Mario Kart - inspired nails Using the Beetles Crystal Orb 3D Nail Art Gel Kit along with shades from their Four Seasons Glow Collection 💫

Products used:

💅 Beetles Gel Polish
F193, F211, F221, F202, F199, F191, F192, F222

* Glitter Top Coat
* Crystal Orb 3D Gel

💅 Bio Seaweed Gel
Onyx
Lime Time
Melon Coral

✨ To shop: link in bio
Use code STNAILSBYA for $$ off

 #beetlesgelpolish #nailtech #beginnernailtech #beginnernails #nailsathome @BeetlesGelPolish beetlesbuildergel",
yt,RiiwzS9bLZs,2026-05-13,黄嘉丽,2026dealbox&PD,彩胶,纯色,做款;成品展示,视频,,https://www.youtube.com/watch?v=RiiwzS9bLZs,🫧🎨🌷EASY French Manicure Hack… Beetles Gel Polish,
yt,elthMe7n_N8,2026-05-13,周紫月,KOL品线推广,配件,美甲灯,做款;创意,视频,,https://www.youtube.com/watch?v=elthMe7n_N8,this is how it turned out …🌸,
yt,oWQHERx8Z0w,2026-05-13,黄莉莎,KOL品线推广,穿戴甲,UV穿戴甲,做款,视频,,https://www.youtube.com/watch?v=oWQHERx8Z0w,‪@beetlesgelpolish‬,
ins,DYN38g2xn41,2026-05-12,何嘉怡,2026母亲节礼盒,彩胶,混合套组,做款;成品展示,视频,,https://www.instagram.com/p/DYN38g2xn41/,Uñas en casa con efecto perlado 💗 #uñasencasa,
ins,DYNZfMGvZ3D,2026-05-12,黄莉莎,KOL品线推广,配件,透色,做款,视频,,https://www.instagram.com/p/DYNZfMGvZ3D/,"Mírame hacer un diseño con productos de @beetlesgelpolish 
✨🌸💖
Código de descuento: CLMISSWITCH
Los productos que use: 
Beetles Soft Tint Nude Gel Nail Polish Set
Beetles 96 Pcs Gel Nail Kit with U V Light & DIY Magnet Set
Beetles 2 Pcs 15ml No Wipe Gel Top Coat and Base Coat Set
Beetles Meowgic Milkkitty Nail Lamp
•
•
#nailtech #beginnernailtech #beetlesgelpolish #lanails #misswitchnails",
ins,DYNxfqCs4X4,2026-05-12,林盈盈,KOL品线推广,彩胶,混合套组,品牌向,视频,,https://www.instagram.com/p/DYNxfqCs4X4/,"✨ 𝐏𝐫𝐞𝐬𝐬 & 𝐌𝐢𝐧𝐠𝐥𝐞 with @new_york_edge 💅🏽🤍

Thank you so much to @new_york_edge for bringing your students to spend part of their spring break with us 🫶🏽 It was truly such an amazing experience getting to connect, create, and pour into the next generation of young creatives & entrepreneurs ✨

When I opened @gotyoupolished, I always knew I wanted it to be 𝘮𝘰𝘳𝘦 𝘵𝘩𝘢𝘯 𝘫𝘶𝘴𝘵 𝘢 𝘴𝘢𝘭𝘰𝘯. I wanted it to be a space built around 𝐜𝐨𝐦𝐦𝐮𝐧𝐢𝐭𝐲, creativity, opportunity, and giving back. Being able to speak to students who come from similar backgrounds as me and remind them that 𝘢𝘯𝘺𝘵𝘩𝘪𝘯𝘨 𝘪𝘴 𝘱𝘰𝘴𝘴𝘪𝘣𝘭𝘦 when you put your mind and heart into it means everything to me 🥹🤍

Huge thank you to @beetlesgelpolish for sponsoring the tortoise kits 🐢✨ They were SO easy for the students to use and helped everyone create such beautiful designs during class 💅🏽

Seeing the confidence, creativity, and excitement in the room is exactly why we do this 🫶🏽✨

𝐃𝐨𝐧’𝐭 𝐟𝐨𝐫𝐠𝐞𝐭 — our educational e-book/manual that we use during our Gel-X & Gel Manicure classes is available now 🤍 𝘓𝘪𝘯𝘬 𝘪𝘯 𝘣𝘪𝘰 ✨",
ins,DYPb7xqgrx5,2026-05-12,罗婧,KOL品线推广,穿戴甲,UV穿戴甲,开箱;做款;口播,视频,,https://www.instagram.com/p/DYPb7xqgrx5/,"Probé las Beetles Pink Short Square Press On Nails y estoy obsesionada 🎀✨
Quedaron súper naturales, fáciles de aplicar y con acabado como de salón en minutos 🫶

Perfectas para un look clean, femenino y rápido 💅

Usa mi código SANDVELA para 10% de descuento ✨
¡Link en mi bio! @beetlesgelpolish #beetlesgelpolish #pressonnails #pinknails #uñasrosas #uñaspresson nailinspo",
tk,7638671758760873237,2026-05-12,黄嘉丽,KOL品线推广,彩胶初学者套装,透色,开箱;口播,视频,,https://www.tiktok.com/@dollzbycc/video/7638671758760873237,"🌸🍨🍫
Got it from Amazon (link in bio) 
USE CODE STDOLLZ10 for 10% off 😍

@beetlesgelpolishofficial
#nails #nailart #neopolitan #beetlesgelpolish",
tk,7638673242835799316,2026-05-12,黄嘉丽,KOL品线推广,彩胶初学者套装,透色,成品展示,视频,,https://www.tiktok.com/@dollzbycc/video/7638673242835799316,"I do my nails at home & im proud of the little suckers okaaayyyyy 🤎🍨🌸 

#neopolitan #nailinspo #diynails @BeetlesGelPolish #beetlesgelpolish ",
tk,7638719704990797078,2026-05-12,罗婧,KOL品线推广,穿戴甲,穿戴甲款式,做款,视频,,https://www.tiktok.com/@laura.x64/video/7638719704990797078,@BeetlesGelPolish I recommend this kit!! Literally looks like you went to the nail salon and got them done!!💓#nailkit #bettlesgelpolish #DIYnails #nailstutorial #fyp ,
tk,7638721636375579924,2026-05-12,黄嘉丽,2026dealbox&PD,彩胶,纯色,做款,视频,,https://www.tiktok.com/@nailzbyneesha/video/7638721636375579924,"Make a set of press ons using Beetles Gel Polish!✨ 
•
 Polishes from @BeetlesGelPolish 
Red - a522
Jelly White - a732 
Nude base - e525
Baby yellow - 837 (I mixed this one with white gel polish for this set!)
•
Press on set - Birthday Cake🍒 (link in bio to purchase!)
#pressonnails #beetlesgelpolish #pressonnailbusiness #nailart #handmadepressonnails ",
tk,7638721673293843743,2026-05-12,黄莉莎,KOL品线推广,配件,透色,做款,视频,,https://www.tiktok.com/@.misswitchnails/video/7638721673293843743,"Mírame hacer un diseño con productos de @BeetlesGelPolish 
✨🌸💖

Código de descuento: CLMISSWITCH

Los productos que use: 
Beetles Soft Tint Nude Gel Nail Polish Set
Beetles 96 Pcs Gel Nail Kit with U V Light & DIY Magnet Set
Beetles 2 Pcs 15ml No Wipe Gel Top Coat and Base Coat Set
Beetles Meowgic Milkkitty Nail Lamp
#nails #nailtech #beginnernailtech #nailtutorial #misswitchnails ",
tk,7638774806074248478,2026-05-12,何嘉怡,KOL品线推广,彩胶,特色胶,做款;成品展示,视频,,https://www.tiktok.com/@americasnails_/video/7638774806074248478,Ugh I’m so in love 🩷😍💕💖 #cateye #nailart #pinknails #nailtutorial #nailvideos ,
tk,7638826015359257887,2026-05-12,罗惠仪,KOL品线推广,彩胶,纯色,创意;成品展示,视频,,https://www.tiktok.com/@youluvvpiper/video/7638826015359257887,i love these nail tips no shade 😭 #fy #beetlesgelpolish #nailtips #nailsartvideos #yellow 💛,
tk,7638831581653716237,2026-05-12,马明慧,KOL品线推广,穿戴甲,UV穿戴甲,开箱;做款,视频,,https://www.tiktok.com/@bryanna_jones/video/7638831581653716237,"@BeetlesGelPolish press ons have my heart 

#pressonnails #athomenails #pressons #pressonnailstutorial ",
tk,7638913961391410462,2026-05-12,罗惠仪,KOL品线推广,假指甲,预构建甲片,开箱;口播,视频,,https://www.tiktok.com/@bold.you/video/7638913961391410462,I’m even more in love with these than I was when they first launched their first tipex !! #beetles #tipex #tipexnails #nailart #gelxnails ,
tk,7638925605530012936,2026-05-12,林盈盈,KOL品线推广,彩胶,纯色,做款,视频,,https://www.tiktok.com/@nailzby.siena/video/7638925605530012936,Doing my mums nails💓 Using: @BeetlesGelPolish #nailtech #fyp #perthnailtech #foryou #beetlesgelpolish ,
tk,7639016980246416647,2026-05-12,罗婧,KOL品线推广,穿戴甲,UV穿戴甲,开箱;做款;口播,视频,,https://www.tiktok.com/@sandv_ela/video/7639016980246416647,"Probé las Beetles Pink Short Square Press On Nails y estoy obsesionada 🎀✨
Quedaron súper naturales, fáciles de aplicar y con acabado como de salón en minutos 🫶

Perfectas para un look clean, femenino y rápido 💅

Usa mi código SANDVELA para 10% de descuento ✨
¡Link en mi bio! @BeetlesGelPolish #beetlesgelpolish #pressonnails #pinknails #uñasrosas #uñaspresson  ",
yt,4CxAO7lN2BU,2026-05-12,黄嘉丽,KOL品线推广,彩胶,纯色,做款,视频,,https://www.youtube.com/watch?v=4CxAO7lN2BU,come make cute café girl press-ons with me 🤍,
yt,JZ5UA330bGg,2026-05-12,黄嘉丽,KOL品线推广,彩胶,混合套组,开箱,视频,,https://www.youtube.com/watch?v=JZ5UA330bGg,ASMR unboxing gel nail polish,
yt,bpR7tsisrQ0,2026-05-12,黄莉莎,2026dealbox&PD,彩胶初学者套装,预构建甲片,做款,视频,,https://www.youtube.com/watch?v=bpR7tsisrQ0,Animal Print + Whimsical Nail Art 〰️ Beetles Nail Challenge,
yt,rqGw_jEl05Q,2026-05-12,黄嘉丽,KOL品线推广,彩胶,混合套组,刷色,视频,,https://www.youtube.com/watch?v=rqGw_jEl05Q,Beetles Gel Polish Kit Review & Swatches | 25 Ocean Gels,
fb,122174818352901749,2026-05-11,黄莉莎,2026母亲节礼盒,彩胶,混合套组,开箱;做款,视频,,https://www.facebook.com/reel/1003811088751161,"Gracias @beetlesgelpolish por siempre pensar en cada detalle en mi link encuentras el enlace de esta hermosa caja y puedes aplicar a mi código de descuento “Mairin10”

#nailinspo #nailsbymairin #beetlesgelpolish #beetlesmanitimewithmom #nailsofinstagram",
ins,DYLRAVgN0wm,2026-05-11,高咏欣,2026母亲节礼盒,彩胶,混合套组,做款,视频,,https://www.instagram.com/p/DYLRAVgN0wm/,"My mother is my whole wide world ✨ Remember that mothers deserve to be pampered too! They carry us for 9 months, bring life, feed us, and they’re always the first arms we are truly held by. 🥹

Thank you @beetlesgelpolish for making this moment so special for us ❤️ Happy Mother’s Day to all the wonderful mothers in the world 😘",
ins,DYLiIfWskhV,2026-05-11,黄莉莎,2026母亲节礼盒,彩胶,混合套组,开箱;做款,视频,,https://www.instagram.com/p/DYLiIfWskhV/,"Gracias @beetlesgelpolish por siempre pensar en cada detalle en mi link encuentras el enlace de esta hermosa caja y puedes aplicar a mi código de descuento “Mairin10”

#nailinspo #nailsbymairin #beetlesgelpolish #beetlesmanitimewithmom #nailsofinstagram",
ins,DYM4noCxVZB,2026-05-11,何嘉怡,KOL品线推广,彩胶,特色胶,开箱,视频,,https://www.instagram.com/p/DYM4noCxVZB/,The perfect pastel cateye ✨ thank you @beetlesgelpolish 💕 find the link in my bi0 and use c0de: ALASIANN 🫶 #beetlesgelpolish #beetlesnailnook #beetlescateye #cateyenails,
tk,7638295074123566349,2026-05-11,黄莉莎,KOL品线推广,配件,美甲灯,开箱;成品展示,视频,,https://www.tiktok.com/@aracel_yyy/video/7638295074123566349,"The cutest and only gooseneck lamp you’ll ever need 🐾🐱💗
@BeetlesGelPolish 
#fyp #fy #goosenecklamp  
#beetlesmeowgiclamp #meowgicnaillamp",
tk,7638322051677195542,2026-05-11,黄嘉丽,KOL品线推广,彩胶初学者套装,四指灯套装,做款,视频,,https://www.tiktok.com/@mariane_mkl/video/7638322051677195542,"1 Day 1 Design💅🏻 | Hot dog Edition 🌭 | 

#nailarttutorial #3dnailart #foodtok #hotdog #tiktokfr ",
tk,7638322520688463117,2026-05-11,罗惠仪,KOL品线推广,彩胶,混合套组,做款,视频,,https://www.tiktok.com/@3star.asmr/video/7638322520688463117,asmr NAIL DAY my favorite🙈🦋 #asmr #nailart #beauty #asmrvideo #girl ,
tk,7638394609235807501,2026-05-11,马明慧,KOL品线推广,穿戴甲,UV穿戴甲,开箱;口播,视频,,https://www.tiktok.com/@stayspretty/video/7638394609235807501,Thank you @BeetlesGelPolish I can’t wait to try🤍🥹 #pressonnails #beetlesgelpolish #beetlesnails #pressons #summernails ,
tk,7638413149292612895,2026-05-11,林盈盈,KOL品线推广,穿戴甲,穿戴甲款式,giveaway,视频,,https://www.tiktok.com/@itsarielastarr/video/7638413149292612895,"So excited!!!  @BeetlesGelPolish 😍😍😍
#nailtech #nailtok #diynails #giveaway #giveawayalert ",
tk,7638414157867388190,2026-05-11,高咏欣,2026母亲节礼盒,彩胶,混合套组,做款,视频,,https://www.tiktok.com/@modelo.kimmykim/video/7638414157867388190,"My mother is my whole wide world ✨ Remember that mothers deserve to be pampered too! They carry us for 9 months, bring life, feed us, and they’re always the first arms we are truly held by. 🥹

Thank you @BeetlesGelPolish for making this moment so special for us ❤️ Happy Mother’s Day to all the wonderful mothers in the world 😘
#beetlesgelpolish #manitimewithmom #mothersday #fypシ #bronxnailtech ",
tk,7638462063873936671,2026-05-11,黄莉莎,2026母亲节礼盒,彩胶,混合套组,开箱;做款,视频,,https://www.tiktok.com/@nailsbymairin/video/7638462063873936671,"@BeetlesGelPolish 

#beetlesgelpolish #nails #nailsbymairin #nailsinspo ",
tk,7638468154783501589,2026-05-11,林盈盈,2026dealbox&PD,彩胶初学者套装,混合套组,开箱,视频,,https://www.tiktok.com/@ash.frss/video/7638468154783501589,Back with some more prrr and of course it’s from @BeetlesGelPolish !! #fyp #prhaul #nailhaul #beetles #beetlespr ,
tk,7638513765088087327,2026-05-11,何嘉怡,KOL品线推广,彩胶初学者套装,F13灯套装,开箱,视频,,https://www.tiktok.com/@alissnailss/video/7638513765088087327,"Love love loveee it 💌
-
-
-
-
-
-
—@alissnailss #nails #beetlesgelpolish #nailhaul #nailtutorial #unboxingvid                     ",
tk,7638527089741761805,2026-05-11,周紫月,KOL品线推广,彩胶,特色胶,开箱;口播;刷色,视频,,https://www.tiktok.com/@e.vvelinn/video/7638527089741761805,Such beautiful colors 🤩 @BeetlesGelPolish #polishes #beetlescateye #cutepolishes #summercateyepolishes ,
tk,7638589711153483022,2026-05-11,黄莉莎,2026dealbox&PD,配件,预构建甲片,开箱;口播,视频,,https://www.tiktok.com/@adfaith27/video/7638589711153483022,"Thank uou Bettles!

Products:
Beetles Rainbow Core Gel Polish Set
Beetles Soft Tint Jelly Gel Set
Beetles Tipex Lite Apex Nail Tips Stiletto Medium
Beetles Candy White UV/LED Nail Lamp

@BeetlesGelPolish 

#BeetlesNailChallenge #BeetlesDealsBox #beetlesgelpolish #primedaynails #primeday ",
tk,7638594803239783702,2026-05-11,林盈盈,KOL品线推广,彩胶,混合套组,开箱,视频,,https://www.tiktok.com/@sharonspadoni/video/7638594803239783702,"@BeetlesGelPolish grazie grazie grazie!!!! 💕💕💕💕
#adv #onicotecnica #gifted #nailpolish #smalti ",
tk,7638626259802672392,2026-05-11,林盈盈,KOL品线推广,彩胶,纯色,开箱,视频,,https://www.tiktok.com/@nailzby.siena/video/7638626259802672392,@BeetlesGelPolish #beetlesgelpolish #nailtech #fyp #foryou ,
tk,7638636277599931662,2026-05-11,何嘉怡,KOL品线推广,彩胶,特色胶,开箱,视频,,https://www.tiktok.com/@alasiann/video/7638636277599931662,These pastel cat eyes are stunning ✨ Thank you @BeetlesGelPolish 💕 find the l1nk in my bi0 and use c0de: ALASIANN for a disc0unt #beetlesgelpolish #beetlesnailnook #beetlescateye #cateyenails ,
tk,7638649284958670093,2026-05-11,罗惠仪,KOL品线推广,彩胶,透色,开箱;刷色,视频,,https://www.tiktok.com/@glossed.by.liv/video/7638649284958670093,these colors are sooo fun! @BeetlesGelPolish #gelpolish #nailtech #beetlesgelpolish #nailinspo ,
yt,iSyvcM0RHdg,2026-05-11,周紫月,KOL品线推广,构建美甲,构建胶,做款;口播;教程,视频,,https://www.youtube.com/watch?v=iSyvcM0RHdg,Watch me do a full *builder gel* set ✨ step-by-step tutorial,
ins,DYIWjSlSe_I,2026-05-10,李伊芸,KOL品线推广,功能胶,功能胶套组,做款,视频,,https://www.instagram.com/p/DYIWjSlSe_I/,"comment “me” for the everything l use sent straight to your DMs 💌 (make sure your following so the link sends correctly)
GLOW UP SERIES ✨ diy gel x nails edition <3
#glowupseries #diygelxnails #gelxnails #DIY #diygirly",
ins,DYIr31Ah1tn,2026-05-10,罗婧,2026SummerVoyage,彩胶,特色胶,做款;口播,视频,,https://www.instagram.com/p/DYIr31Ah1tn/,Short nails can be cute too! Learning how to do my nails pt. 3 #nail #nailart #nailinspo #fyp #beetlesgelpolish,
ins,DYKX-Pkusyu,2026-05-10,高咏欣,KOL品线推广,功能胶,卸甲液,做款;口播,视频,,https://www.instagram.com/p/DYKX-Pkusyu/,,
ins,DYKXWU3oTcp,2026-05-10,周紫月,KOL品线推广,配件,美甲灯,做款;创意,视频,1,https://www.instagram.com/p/DYKXWU3oTcp/,"nail challenge time 💅✨

using the new Beetles Pro Poetry of Garden set + Flashcure lamp 💖 
@beetlesgelpolish 
#nailchallenge #nailinspo #beetlespro #gelnails #nailideas",
tk,7637938449936354573,2026-05-10,黄莉莎,KOL品线推广,彩胶,纯色,开箱;做款,视频,,https://www.tiktok.com/@aracel_yyy/video/7637938449936354573,"My fav spring nails ever 🍌💙
 ft @BeetlesGelPolish 

#beetlesgelpolish #beetlesnailnook #Springnails #fyp #fy ",
tk,7637950369624050957,2026-05-10,黄莉莎,KOL品线推广,构建美甲,捏捏胶,做款,视频,,https://www.tiktok.com/@aracel_yyy/video/7637950369624050957,"The most gorgeous beach inspired nails 🌸🌊
ft@BeetlesGelPolish 
#beetlesgelpolish #beetlesbuildergel #Springnails #fyp #fy ",
tk,7637971569905618207,2026-05-10,何嘉怡,2026dealbox&PD,彩胶,纯色,开箱;口播;刷色,视频,,https://www.tiktok.com/@nailzbyvesha/video/7637971569905618207,"I'm so so blessed 🥹💕 use ""STEVESHA"" for $off!! Link in my linktree!@BeetlesGelPolish #fyp #beetlesgelpolish #nailtok #fy #beginnernailtech ",
tk,7637974497810844958,2026-05-10,何嘉怡,KOL品线推广,彩胶,混合套组,做款;成品展示,视频,,https://www.tiktok.com/@nailsby.sai/video/7637974497810844958,Replying to @hiitznasa._ obsessedd with animal print cat eye nails #zebraprintnails #cateyenail #nailtutorial #nailart #pressonnails ,
tk,7637983421448342798,2026-05-10,李伊芸,KOL品线推广,功能胶,功能胶套组,做款,视频,,https://www.tiktok.com/@nicoleebennett/video/7637983421448342798,GLOW UP SERIES ✨💅🏼 diy gel x nails at home edition <3 #glowupseries #gelxnails #diynails #diygirly #diy ,
tk,7638006192165506317,2026-05-10,黄莉莎,KOL品线推广,穿戴甲,UV穿戴甲,开箱;口播,视频,,https://www.tiktok.com/@kenley.nebraska/video/7638006192165506317,Get your own press ons from beetles in my bio!!! USE the code UPKENLEY10!!!!!! you won’t regret it !!! I’m so so thankful!! @BeetlesGelPolish #contentcreator #prunboxing #beetlesgelpolish #girlssupportgirls #fyp ,
tk,7638031086592822558,2026-05-10,黄莉莎,2026母亲节礼盒,彩胶,混合套组,做款;口播,视频,,https://www.tiktok.com/@nailzby.lilz/video/7638031086592822558,A day with mom could not be any better with this beetles set. Product link: https://www.beetlesgel.com/collections/best-mother-s-day-mani-gel-polish-gifts-2026?utm_source=social&utm_medium=nailzby.lilz. @BeetlesGelPolish #manitimewithmom #beetlesmanitimewithmom #nail #fouryoupage #fyp ,
tk,7638064694560853278,2026-05-10,黄莉莎,2026SummerVoyage,配件,美甲笔,开箱,视频,,https://www.tiktok.com/@emmadoesnails3/video/7638064694560853278,Thank you so much beetles#nails #gelx #beetlesgelpolish #orangecountynailtech #haul @Beetles Nail Boutique @BeetlesGelPolish ,
tk,7638078161145613598,2026-05-10,何嘉怡,2026母亲节礼盒,彩胶,混合套组,做款;成品展示,视频,1,https://www.tiktok.com/@schantalkarin/video/7638078161145613598,"Tutorial de uñas perladas en casa simple ✨ 

Usé productos del kit de día de las madres de @BeetlesGelPolish para estas uñas, pero todo está siempre en el link de mi bio 💞 ",
tk,7638243691412475167,2026-05-10,高咏欣,KOL品线推广,穿戴甲,UV穿戴甲,开箱,视频,,https://www.tiktok.com/@itsashlyntaylor/video/7638243691412475167,"PR unboxing haul! Big thank you to all the brands that sent me goodies to try out💞! Don’t forget to use my code to get $$ off

@fine'ry. @Thayers @BeetlesGelPolish @Glowmode 

#college #raleigh #unboxinghaul #vlog ",
tk,7638272578230045965,2026-05-10,周紫月,KOL品线推广,配件,美甲灯,做款;创意,视频,1,https://www.tiktok.com/@voloshka_purple/video/7638272578230045965,"nail challenge time 💅✨

using the new Beetles Pro Poetry of Garden set + Flashcure lamp 💖 
@BeetlesGelPolish 
#nailchallenge #nailinspo #beetlespro #gelnails #nailideas ",
tk,7638275273271610644,2026-05-10,高咏欣,KOL品线推广,功能胶,卸甲液,做款;口播,视频,,https://www.tiktok.com/@joujjouuu/video/7638275273271610644,"Ahh I can’t believe I picked these out😍😍

#fyp #pressonnails #nails ",
tk,7638284363720854798,2026-05-10,黄莉莎,KOL品线推广,彩胶,纯色,开箱;成品展示,视频,,https://www.tiktok.com/@aracel_yyy/video/7638284363720854798,"funky spring nails all spring please and thank you 🌸🐞🐝
@BeetlesGelPolish 
#beetlesgelpolish #beetlesnailnook #Springnails #fyp #fy ",
yt,I433etMC0a4,2026-05-10,黄嘉丽,KOL品线推广,构建美甲,预构建甲片套组,开箱;做款;成品展示,视频,,https://www.youtube.com/watch?v=I433etMC0a4,Trying Beetles Tipex Lite Nail Kit & 25 Color Gel Polish Set | Blue Summer 3D Flower Nails,
yt,lNAzkYWPEyQ,2026-05-10,周紫月,KOL品线推广,配件,美甲灯,做款;创意,视频,,https://www.youtube.com/watch?v=lNAzkYWPEyQ,nail challenge time💅,
fb,122174544260901749,2026-05-09,黄莉莎,KOL品线推广,彩胶,混合套组,做款,视频,,https://www.facebook.com/reel/1031655816474159,"Spring nails 

@beetlesgelpolish 

#nails #nailsnailsnails #nailsbymairin #nailinspo #nailsofinstagram",
fb,122293748312222740,2026-05-09,黄莉莎,2026dealbox&PD,彩胶,纯色,开箱;口播,视频,,https://www.facebook.com/reel/933419546291986,"thank you @beetlesgelpolish @beetles_community 
ACRYLIC PRESS-ON ORDERS PLACED VIA DM, All custom, Worldwide shipping 
• Each set is handcrafted with a durable acrylic overlay and structured just as a full set of acrylics! 
Designed for reusability and fully customized to fit your unique nail bed for a seamless, professional salon-quality look 💅. Every order includes Free international shipping, a complete prep kit, and everything you need for 3+ weeks of wear and long-lasting retention. ✨ Press-On Nail Investment (Base Pricing)
French tips are available as an add-on for an additional $20.
* Toes: starting at $50
* Short: $55
* Medium: $65
* Long: $75
* XL: $85
* XXL: $100
* XXXL: $120

💎 Caseyoncé Swarovski Hand-Painted Freestyles
* Medium Length Freestyle: $150
* Long Length Freestyle: $200
* XL Length Freestyle: $300
* XXL Length Freestyle: $400
* XXXL Length Freestyle: $500
For inspiration-based designs or recreation sets, pricing will be provided upon review of your reference photos.

These press-on sets are a timeless investment, perfect for elevating your look again and again.

🛒 How to Place Your Order:
To begin your order, I will send you a Square invoice. Payment must be made in full before the design process begins. You will be able to securely pay your invoice using your card or Apple Pay.
Once your payment is completed:
1. I will collect your shipping information
2. You will send clear photos of your nails next to a quarter (for sizing) in good lighting
3. I will begin creating your custom set
4. Processing time is 14 days. Shipping takes 2–5 business days. (Rush orders for same-week delivery are available for an additional $60 quick processing fee)

#caseysbeautystudio #toledonails #toledo #beetlesgel #acrylicpressons toledoohionails toledonailtech toledoohionailsalon toledoohionailtech detroitnailtech detroitnails annarbornails monroenailtech monroenails detroitgolf  Bowlinggreennails northvillenails explorepage explore explorepagenails novinailtech nailsfyp rochesterhillsnails 
419nailtech lucascounty stClairshores  royaloaknails northwestohionails acrylicpressonnails",
